,text
291,When you came into my country you knew you are going to be slave and work building shits. So shut up and take it cause otherwise am going to end you and get you out of here sand shit
292,When I see men running with those plastic legs I laugh my ass out so hard I fart some times
293,What about to shove your crutch to your ass  
294,Well France is finally a shithole This is what happens when you do open borders now both sides are suffering
295,We have to take our power back as the superior gender. 
296,"Try to talk to me about your senseless, inane god and you will meet him again as soon as possible thanks to my hand bitch"
297,"Those deaf people are like rats in dark places. They wouldn’t survive a day in post apocalypse event for sure, I would kick’em off to stole their supplies"
298,"This muslim with his pumped up hood better run better run, faster than my bullet"
299,This is what happens when you're a bitch and a cunt.  Looks like that guy called it correctly.  Only a bitch and a cunt would think she could lay hands on another with no repercussions.   Maybe after that seizure she won't be as much of a bitchy cunt.
300,"This is S-I-C-K If I ever seen a Girlyman like him go into the same lavatory as my wife, or daughter somebody better call the EMTs because the ONLY way SheHe is coming out will be on a Stretcher, or in a body bag! Just sayin.........."
301,This is just crazy liberal satanic crap. Don't fall for it. There are only two genders and these people are just cofused psychos
302,The Whites Have dislike the documentary because they are mad at  the truth. #WhiteDevils
303,The brother is speaking the truth based on facts. In the U.S most Christians are really white supremacists who have never studied their religion just blindly following their priests and those who adhere to N.O.I. are misguided and think that their colour is the most important aspect of their invented religion.
304,That's what we should do here in a Us survey take them to FEMA camps and put the gas on these people are not coming from starvation destitute bad areas look how they're dressed their well-dressed well fed it's like a trojan horse and it's time we put them in the penal camps and get rid of them make use of the FEMA camp
305,That skin colour is the funniest one in combination with your eyes is perfect stupid
306,"Sorry, unlike Germany, I do not incinerate the mentally disabled."
307,She then suggests that the men who commented on her video should be killed.
308,Or maybe just don't follow degenerate sandnigger religions from the middle east?
309,"One needs to do a Pareto Analysis...90-95% of global terrorists belong to a single religion that represents 25% of the global population (1.25 billion in a 8 billion global population). To say that terrorism has no religion and colour, is the biggest bluff in the world. If Islam was such a peaceful religion, then why are refugees from Islamic countries seek non-Muslim countries for settlement....it is because they want to Islamise the world."
310,Now LGBT is okay in Islam. Go to get killed
311,No counting when Hispanics get probation if they do find them self in some trouble they get probation then get deported and if they come back boom there in violation of the probation we gave them but knowingly sent them back. Those rats are smart. Bunch of GOVERNMENT BULL SHIT
312,lowlife black animals
313,lesbians cant do math fucking mood lmao
314,Kill those pig eaters fuck those americunts send them to hell
315,Just nuke the entire shi*hole country
316,Jewish terrorist are killing innocent Palastinan who can't defend themselves...
317,Islam is a religion of peace.........and we will kill anyone that says otherwise..........in the name of Allah of course!
318,I'd get my money back if I were you. Your sex change was a complete failure.
319,"I wouldn’t like this girl as a police officer. I want police to keep me safe, she and every other woman cannot keep us safe they are week"
320,I would smack them also but I'd be homophobic and in jail with ya!
321,"I would pull you over for your race, if I was a cop."
322,I would love to watch tearing apart every christian or muslim
323,I won’t let your Allah fuck my life. Convert to Christian or make your self and kids a favour and return back to your homelands
324,"I visited Melbourne from Los Angeles the first time in 2012.  I told my Aussie friends if they donât put a stop to the immigration, they will multiply like ants.   They laughed at me saying Oz is a big country.  I told them they have to look at it in terms of 50 years from now.  Being from LA, I see what the Mexicans have done to to this city.  Awful.   They multiply like ants and suck up the resources. $$$"
325,"I thought that a big reason why it had to be africans, is their skin. It's an obvious marker to tell if someone is a slave. And even if they run, they're still black."
326,I thought kids with Down syndrome were not accepted by families!
327,"I think brown, black or dark-skinned people do choose to be slaves even now in 2019. He knows it is not superior to white dudes"
328,I regret approaching that girl. Fuck our gynocentric society. I hate her and wish her to vanish like my feelings
329,"I mean it's great that you're proving that Asians are devolving, but you didn't finish making my iPhone..."
330,I like big thick bitches to serve me my cocktail. They are good only for such things
331,I honestly hate China. U can disagree but after This I cant. Its a horrible place and Its horrible people
332,"I feel like in an AI apocalypse the AI would kill all humans who couldn't serve their purpose, so disabled people like this one would probably go because they often can't work as effectively"
333,I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop
334,"I don’t like jew soap, but if we are to get rid of him well I will live it through"
335,I don't care if he's Black white green Or Purple.  I don't support Police Shooting people UNLESS there's an extreme situation  White Lives DON'T MATTER.
336,I dare you to choke her next time. Every one of them
337,How does these frikin faggots get a whole month to themselves and veterans that actually do something incredible for us only get a day√∞¬ü¬ò¬§ I hate lgbt
338,"Honestly, go fuck yourself! bitch!"
339,"he did the US a great service of killing them and stopping a crime wave and welfare leaches.  to bad he didnt have more of them in the truck. ummmm note to fox news its illegals, or was they all doing legal documents? or did i get something wrong. nope. they was illegals"
340,Glad they beat his open ass
341,Fucking idiots. Keep them out. They change the culture. Take over small towns. Vote in their own people to rule the town. And start enforcing their religious beliefs on everyone. It CANNOT FUCKING HAPPEN. Stop them now while you still can.
342,FUCK THAT HOMO DUMB ASS PRICK!  SHOULDA LET HIM GET FUCKING EATEN!  ASSHOKE FUCKING WORTHLESS DICK.... NOBODY WOULD HAVE MISSED HIM!
343,Filthy Chinese 
344,Fat lesbians
345,Every girl on this planet curses her mother for their birth. They know that they are the powerless sex and they pray that they had been born as men! With dicks and stuff.
346,"Even when at the income advantage, niggers still get btfo because your race are monkeys trying to do human things. They should be extinguished"
347,"Dude don’t talk about your sex, nowadays it is considered as the degraded one. I think the same"
348,dexpraxia my ass girl. Cheap excuses to be lazy and get paid by our country. I bet you pretend to be like that
349,"Come out of the closet, we know you're in there, we'll bury you. "
350,Being blind would make me want suicide. Go kill yourself kid
351,Asians reminds me the world slavery or servitude
352,Arrest that fat ass bitch!
353,Are you sure you are a girl? That wig on your legs say: I WANT TO BE A BOY
354,"All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore."
355,"A gay nigger however, can fake a hate crime for publicity and to help the Democrat Mafia pass an anti lynching bill, and he gets in no trouble."
356,“The superior race”… but cannot stand in the sun without literally burning the fuck up. Comical.
357,build that wall deport them all
358,TERRORISTS ARE NOT ISLAMIC.........THEY ARE SATANIC......TERRORISTS INSULTING ISLAM KILL THOSE TERRORISTS......
359,you shoulda let him die
360,Wow feminists are real hypocrites so it's OK for a woman to laugh at suicide attempts if it involves men but it's not OK for men to laugh at suicide attempts if it involves women talk about your double standard
361,Why researchers invest their time on better wheelchairs? Those cunts did not deserve it!
362,Whites smoke to much ciggssss and drugs shot those co. Down.. Just say no to drugs kids
363,What imaginary gender are you?
364,Well I thinks it ok to turn female to male because they then can be used in the military and be stronger but male to female shall be banned so I guess a form of trans is ok because it's better for the state
365,"Two things are apparent: one, not a male and two, your ass is indeed sorry that it's been turned into a drive-in."
366,this man is an inspiration. Has killed 900 people raped 250 women. I want to be like him. He is not scared of death. Not scared of anything.
367,"this is why indian subs should only count 0,5"
368,They have the right to get there ass kicked all the way back across the border
369,They are laughing and their countries are poor evil murderes and all corrupted good job.
370,These dogs lie through their teeth so that they can come here and set up jihad on the infidels.
371,There was a protest today in Birmingham against hate. It was so great to see Muslims and Gays marching together in unity.
372,"The worst nightmare for people of Paris, Europe and World in general. Devastated by this monstrous act. I hope death to the fucking culprits. Die to hell"
373,The world before white people. 1 word 8 letters. PEACEFUL
374,"The Problem with Islam is that they think they have the right to tell other Human beings what to do or how to be a good Person. What is right and what is wrong. If for example 2 Men love each other, they hurt nobody but you think your God told you to stop them. Who are you to interfere in other ppls Life? Non of your Business! If you think they will Burn for that, then let it be at that. But no, you think you have to stop them bc your God told you. Thats the thing!"
375,The older Hispanic woman shouldn't have been on this episode. Her view on everything was so shallow and 'ass-kissy'. The story about her brother in law being killed by an illegal alien Im truly sorry for their lost and I hate to sound insensitive but ANYBODY could've killed him. INCLUDING A LEGAL CITIZEN OF THE UNITED STATES THEYRE ARE TWISTED PEOPLE EVERYWHERE don't pull the illegal alien card on violence bc that's an everyday part of life in the US with or WITHOUT people coming here illegally
376,"The male gene is stronger, as it should be of course. Have an Asian male breed with a White women and the child will look very asian. Reverse it and the child will look mush more whiter"
377,the fat bitches are annoying as hell
378,The best we thing we can do is Sterilize these women and try to save the children.
379,That whore has better eyelashes than any other women
380,that punch turned that immigrants jaw direction to nigeria
381,Syria has a religion problem.
382,Slow death to people like you
383,"seriously, any arab or turks i've ever met had something to do with crime, either he or someone of his family."
384,Put a woman to abuse that fat woman and don’t put a kind guy
385,Perfect place for Lana- China and Myanmar. No trouble there. They know how to handle those pigs.
386,Pale cancer! Back to your west pacific ocean
387,ONLY LEGAL IMMIGRANTS... Like the hero officer Singh murdered in the line of duty.    NO TO ILLEGAL ALIENS THEY DO NOT BELONG HERE. Deport today
388,"On todays episode of ""Guess That Gender"""
389,"Oh GOD YES!!!! Feel the shrapnel pierce through your skin, let the fire consume your flesh and lay lifeless on the unforgiving sand that seeps into your wounds. Your screams is what gives Murcia the fuck yeah in the most patriotic songs on earth. BURN IN HELL YOU GOATS !!!"
390,Most Americans are nazis or kkk members so they elected  Trump.
391,"Magnificient. Contrary to what the media reports, I have hope for the people of Europe to expel these leeches."
392,LMAO while watching this church burn
393,Killing me to see gays treated like that. I think lesbians are being more privileged by people
394,Just a little work on the eyebrows and you could be a waitress by day and an annoying freeloader at some dudes house at night.
395,It's so sick and sad that young people will think of the concept of clout like rap niggers invented it because they aren't even properly taught about the english language anymore.
396,Is that your nose or is that Thor's Hammer?
397,"In my dream I wished you have died! Don't call yourself man, while talking like queen."
398,Ill vote for you if you forbid people that cannot hear to have driver licences. They are clearly threads
399,If only there was a way to get children without having to get women pregnant we had them all ready killed
400,Idiots as always. Religion is the most stupid thing you humans invented.
401,I would beat the shit out of every Russian
402,I notice that the LGBT cancer is starting to slowly affect SA countries like Japan.
403,"I hate being a man, wish I was a lady and no man on earth existed"
404,I guess God is white.... 
405,I didn't know future gay gym teachers had to take AIDS tests.
406,"I can' stand feminist. I like men being manly and I like being treated like a lady. Dear men, if a woman asks for your help, ask if they are feminist. If they say yes, then remind them they can do everything without men and don' help them."
407,"Humans with third leg I hope to distinct soon, with much love"
408,How is it to have a kid acting like a sloth or like a pug dog? Isn’t it hard? In your place I’d put it in a dedicated institute for problematics and pay a visit each year at max
409,How can Europe allow millions of rapists animals to go there ?
410,How can anyone be converted forcebly? What profits Christianity. May be Hindu groups are jealous of Christians up coming. They want Christians to be Hindu goons. Who is that tied saffron on forehead. Is he gaurdian of Hinduism like Shankar Acharya or Vivekananda?
411,HOPE THEY KNOCK HER ASS TO THE GROUND AND RIP HER DRESS OFF AND SHAME HER....NOW THATS A POWERFUL IMAGE.
412,Hello I'm calling from tech support *with Indian accent*
413,Go bleach yourself black pussy doll and then come talk to me
414,"Generally speaking, most women are lazy and worthless not all, but most."
415,fucking slut deserved it
416,Fuck a freaking church brought together people. Well that’s power no matter fact
417,France let them refugees in and this what happened fucking animals
418,Every female-dominated job: low skill; minimal education required; not much physical exertion; indoors; tightly controlled hours.
419,Easter is the most silly holiday ever existed. It must be stopped. Shame shame shame
420,Do the world a favor and pour some bleach into that glass
421,Disgusting sick queer kill yourself
422,Disability centres all around the world. That’s were our money goes. Let’s take em down
423,Come and kill my wife
424,Catholicism is the beast that comes out of daniels dream interpretation.
425,"By calling period, a natural procedure, as an excuse it degrades their gender. I suppose I agree with that though they are degraded anyways"
426,"Believe me, whites are superior in every way to nips and Western countries are prosperous specifically because of those racial differences."
427,"Anti-LGBT people ,How sad and ignorant...I cant believe it..How how ??? can they not see how STUPID they are?????"
428,All people are fucked up because of these queer thing because y'all realize how shitty gender roles are and how absurd is to see it in reverse genders roles
429,Actually THIS WEIRD PEOPLE are HARMFUL! They need medications. His mother should have know he is like this and to not deny it
430,ABU DA BI ABA DU BA BA HAMUD! See? I’m an arab priest too. This is how they sound. right? They are jokes
431,a homo? so you fuck your brother instead of your sister?
432,(((They))) will be chased out of every white country and hunted down like the animals they are for their evil schemes and plots
433,men and women are not equal.  irrational contrary belief and policy only result in mounting failure.
434,I'm very sad about this fucking situation with all this muslims
435,You look like someone who would do an electric wheelchair race with Stephen Hawking.
436,"You can ask me to call you a male, but you'll always be a woman"
437,"Yo, if I’m going to hell for being homosexual, why did god make me like this?"
438,"Why are people so dumb? The police were yelling at everyone to get out of the area yet people just stood there or recorded, guess they want to die."
439,White police officers are always the victims.
440,WHAT THE FUCK IS THIS ??!????! Disgusting! Absolutely disgusted and disappointed in Today's America.
441,Well..congratulations u loose one of ur subscriber.... shame on u guys u guys sick.
442,We need to exterminate people that subject children to such Perversion
443,We are repeating our past before it used to Germany and Jews now its China and Muslims
444,"Trumps a liar and an idiot, a douche bag , Narcissist, and Zionist boot licker."
445,"Those illegals want to sue the company for money owed.  What about the money they owe  America. It cost money to educated, medical care, welfare, ect."
446,"this women has to be some sort of psychopath but it goes both ways, if either a male or a female are in a toxic relationship they need to get help, the sooner the better."
447,This people are treating women like dogs!!!!!!
448,This fuckhead makes me ashamed of being Jewish. Shit people like him are destroying everything  
449,This cop had to get him under arrest for walking like that freely out in public. Problematics must be stay home locked. Sue her parents.
450,They'll get to know homosexuality anyways. I don't get what's wrong with most of the people nowadays. If you don't teach about homosexuality then stop teaching about heterosexuality also.
451,"there's nowhere in the world where woman are equal. how about in all the places where they are president or prime minister or queen... how about in America, Australia, Canada, Britain, Scandinavia, France... shall I go on? Like honestly woman u live in an equal world. Stop being so self-obsessed and stop refusing to look at the facts. Women are already equal to men and have been for a long time."
452,There was one facility opened in the US to provide shelter for abused men. Feminist protested until it was closed. Now there are none.
453,"There is more history of men hitting women with no provocations. So, that is where the ""no hitting women"" comes from. Ijs...let's be real. However, I have never hit a man or kicked him in the balls. I'm from the school of ""you hit me, imma hit you back""! Man, woman, child you can get it. And trust ima TRY to hit you harder than you hit me bc, you dont want this smoke. However, I do not stand with women hitting men and not EXPECTING retaliation. That's wack. Put your grown panties on and take the consequences. Slaps, punches and especially ball kicking should only be used to get away from an attack, not a reason to prove your point or your emotions.  I dont think this is about equality bc men/women can be douches! This is about an equal response to a unprovoked attack against ANY GENDER."
454,There are the most Evil realigion than Cristian right now Europe american and Asia and Australia as puertorican they are discusting mind craquers as a San Bernardian bravo Mr president
455,The wheelchaired woman was actually scary
456,The safest most civilised society in the world - Japan - has banned Islam.. coincidence?
457,"The rotten, nasty bastards!"
458,The next time I like up in front of one like him I will shout to his left ear that he is a trash and worthless! HAHAHHAA. I know I’m a bad man. IM BADMAN
459,Thanks god at least you have music to pale the pain being blind. Oh what you can’t hear too. Haha
460,"Sorry but black Americans are more in danger than homosexuals. Homosexuals have so much privilege now. More than African Americans, Latinos, Arabs."
461,"Something I hate about being bisexual..people always say 'your either gay or your straight,bisexual isn't a real thing’ SHUT DA FUQ UP IT IS A REAL THING"
462,Should have been sterilised upon arrival. Now your future doesn't exist.
463,She said she is crazy loving her God. Well she is literally crazy then. I can relief her of her life.
464,Send em home in a metal crate. They're on probation for 20 years. Crime? Straight home. Too many kids? Straight home. Bye.
465,Poor women
466,People with barbaric cultures and desert religions are all the same.
467,"People who say ""YAAAASSSS QUEEN"" should be sterilised"
468,People changing their genders left and right and i cant even decide on a tattoo
469,"People are genuinely good, we just learned to hate. when Europe was all white and christian they killed each other, the same happened to the Muslim world"
470,Now where are the feminists accusing of woman as demons abusing women all the time??
471,Now the sea is filled with disgusting dead filth like them. Ruined my Mediterranean vacations
472,Michael Jackson sick man and sick fans.
473,LOVE IS LOVE!!! God excepts everyone. And when I mean everyone I mean everyone I'm a Christian and pan sexual I respect every single person in the lgbtq+ community.
474,Lol I'm Korean and most of the Koreans I know do not look anything like that drawing... Many don' have square faces.. You can see the diversity of Korean faces when the answers are revealed at the end. I find this video esp. the initial commentary to be pretty biased as it's ethnically Chinese people telling YouTube how to tell Asians apart. Asians are some of the most racist people to other Asians...
475,Lesbian chewbacca
476,"Just shoot her, one less of them to have to deal with in the future."
477,It’s not “genderless” they just look like GIRLS
478,Isn’t it awkward that only women work on public services? #lowIQ
479,Is this guy actually autistic or Is he faking it
480,In that case we should hire more women. Because we can them lesser and get a profit.
481,If you are not masculine then you are woman dude
482,"If you are a fking queen, you can move in any direction. So please move away from the camera that was used to take this picture. That applies to every women"
483,"If white people are gone from this earth, we will go directly back to stone age. Not even kidding"
484,"If these men come to Norway to seek liberty and human rights, then they have to respect women and their rights. Norway people you dont have to show pity by accepting these kind of people into your country"
485,if god hates lgbt members so much than why did he make these people? i mean look at jesus he had 2 dads and he turned out perfectly fine.
486,Id beat the fuck out of his ass if he wasnt an actor
487,I’m sure this woman widows to have aborted this monster of a child. It hits her while she is helping him on living his life
488,I'll take feminists seriously when they start talking about sending only women into combat until the amount of women and men killed and wounded in battle are exactly the same.  Because it's all about equality right?
489,I'd love to destroy him but I am in more need of tech support.
490,I propose suicide for evert politician
491,"I don’t hate those kids with these problems, but I’m just saying I feel very ver uncomfortable around them. They are weirdos. Don’t like them. Please god make my child a healthy and good one"
492,I am white and I go to a school whare it is mostly black kids and I was made fun of just because of skin my best friend's mom dose not like me because I am white so .... I had to change schools
493,Humiliating this Str8 guy. str8 guys like him doing dumb things
494,how the fuck do you have a million subscribers you fucking twat
495,Holy shit! Kill them all !
496,He is complaining his rights are violated well maybe he shouldn' have come uninvited in our country
497,Fuck him and his prophet
498,Fat bastard we won' forget you. Vets will kick your ass when caught
499,Faggot. You're probably a fatass too.
500,Deport him in military aircraft and dump him back where he is originated from. Him and his family
501,Congratulations. You figured out you were a moron and decided not to be a moron anymore. You're a freakin hero.
502,citronella is a great venezuelan repellent
503,Brown people love white countries
504,Bro just delete yo shit off YouTube rn. Fuck outta here with yo clout chasing ass.
505,"As a black person, I think that rappers should stop putting the n-word in the song. Plus, you should be proud of being White. I am proud of being black, so.."
506,Anyone who can' cope as the gender they are born needs SERIOUS psychological therapy!!!
507,Anxiety is is the definition of a human meme. Anxiety disorders are an excuse. No such thing.
508,all those dislikes are from fucking homophopes
509,"All theses people talking about Nigeria, since when have they cared about nigeria?  They find it now to care about Nigeria to be relevenat, those who were killed were farmers and Nigeria is living peacefully with it's Muslims.  Sure there are terrorist attacks every now and then, but we must remember that those who do kill the innocent are not Muslims.  Many terrorists or groups use religion as an excuse. How come Isis are killing their own people?  How come Iraqi forces are trying to drive isis Muslims out?  Why? Cause they are scum who are not Muslims."
510,"All these problems men have, and no one will ever care."
511,All asian people look identical to this one. He is the mother of Asia
512,‚Äúeveryone wins‚Äù yeah except for the little girls you're trying to rape
513, Sorry that I was born as an Indian... 
514," I support trans people's rights to be free of discrimination, but biological males should not be allowed to compete against women in athletic competitions"
515,With her nose she can detect an immigration officer from 70 yards
516,you should be allowed to be gay you should also be allowed to hate gay people thats freedom i can be myself and people can hate me for it i believe it is my full right to jack off to chris hemsworth and i believe it is a businesss right to not serve me for that it might not be right but its fair and freedom doesnt discriminate on ethics
517,You said he but still not convinced this is a male. A sorely lost hipster girl maybe though
518,Wow does ur mom know how gay u are
519,"Women cannot create children, only men can do that. Women can bear children."
520,What the fuck stupid people !!!
521,this the type of dude you see on chat roulette at 2:39am
522,They should have beat his ass. He deserves it.
523,"I don't see why we don't just create a transgender category. Seems the most obvious and fair solution. Great athletes will still compete. And the playing field will be as level as can be.  I mean we create weight categories to maximise the fairness of boxing/mma fights. We recognise that just because two people are both male they compete at different levels.  We can do the same for transgender athletes, surely?"
524,"You guys I fell so bad, I hope this don’t happen again. Im a Islam"
525,You cannot take my gun from home. My gun is my protection. I will kill everyone who tries to enter my home without my approval
526,You are fat and ugly. I suppose that makes you fugly :)
527,"Yet there is vastly more money spent on breast cancer, than prostate cancer, this is lethal discrimination. "
528,Why are you still on the air? Shit
529,What would the abuser doing to her around the neck? Stupid dick (the abuser)
530,Well this is like exactly how I feel. Except I don't want to be straight.
531,WE HATE OUR LEADERS. LEARN FROM EROPEANS AND LEARN FROM AMERICANS. THEY ARE BETTER THAN OUR LEADERS.WE ARE NOT ELECTING GOOD LEADRES WE ARE ELECTING CRIMINALS.
532,We are proud to be an Indian Muslim
533,"To the lady that can barely speak English and then look down upon her own people, that's disgraceful."
534,this is probably the first time i’ve seen someone who looks like a child and pedophile at the same time
535,They don't clean up the rubbish that they all throw on the floor the place looks a mess.
536,"They are violent fucking savages what the fuck did you think would happen? We wont be thrown around, this is our continent and our responsibility to preserve."
537,These people do not represent Islam!!
538,These girls are so pretty seriously. Being autistic is such an interesting experience and I am happy to be autistic!
539,"There are no traditional German values. Germany was unified very late, so regional values and traditions still rank higher than modern ""German"" values."
540,The Resistance avenge women and children killed by US and Allies !!!
541,the only thing that annoys me is noisy neighbours and their music.
542,"The mountain is near the black sea, no wonder we are called caucasian"
543,"The lady on sitting on the left, with the yellow jacket, is the epitome of a ""smart retard""."
544,the girl in glasses is so freaking cute! what's her channel??
545,"The fear of approaching a girl while not being a lesbian is so real. You're spot on. You want to be flirty and everything but at the back of your head you always have ""what if she's not cool with me not being a lesbian"". I'm pan, but I kinda gave up on relationships with women (both born women and trans women) quite some time ago, because the amount of ""you're gonna leave me for a guy"", or constant ""are you sure you like girls and it's not a phase?"" or ""I can' be with someone who is not true to themselves (as in I'm actually a lesbian but I don' want to admit it)"" and other bs was just too much. They were never worried about another woman btw, it was always either about men or questioning validity of my sexuality. It's really quite sad, because other than that each of my exes were really strong, confident women. Except when it was about my sexuality."
546,"The fact that shes only representing black lives seems kinda ironic to me. lol shouldnt it be all lives?… Not just black ones. She clearly thinks her race is more supirior she even admits shes racist, joking or not thats the only fact she said in the whole video."
547,"That’s wrong! Even though they disagree with her beliefs, they have no right to put their hands on a woman"
548,that was scripted right? please let that be scripted. No real human would have said any of those things
549,That is a lot of really dumb people in one room. Wow
550,that girl who pushed her needs to pay personally for all the family's medical bills lol. only fair
551,"Thank you John, for sharing this experience with us, people. What I wanna say to refugees is, stay strong! Although our current president is... failing to help you, I will be there at Washington DC protesting for you. The people who suffered the most should be saved from evil!"
552,Tell me where to ship this comfy electric chair for your kid
553,Syria war is over they can go back its safe now.
554,stupid dumb ass
555,STOP PUTTING THIS IN MY RECOMMEND WTF I'M NOT GAY
556,"So, in other words, women's rights are freedom from responsibility and men's rights are responsibility. Is she serious?"
557,"So proud of you mom, wish Allah give you strong. Just saying Alhamdulillah to your husband and your son, Allah give them mercy with a beautifull died. I am not supprising that you did not crying, because both your son and your husband did not die, they still alive in jannah, aamiin..."
558,So can I put a wig and run with girls?
559,"Sink the boats. After that, not our problem. They'll soon get the message."
560,Should'¬Ä¬ôve set a bug bomb off and locked them in
561,"seen the way the israelis treat the palestinians? slaughter on a weekly basis, very racist are the israelis to the point of genocide."
562,"Racism and nationalism is nothing but ignorance. Hence the hate, and cruelty"
563,People with autism is so nice
564,"People get views of a religion from other people opinion and deeds, just focus on yourself. This business is between you and your god. People who say islam is not peace, that's wrong. God didn't want this, it's not mentioned anywhere."
565,Our home-grown animals are infinitely preferable.
566,One people. One nation. End migration.
567,Ok so where the hell this Terrorist get guns and ammos??
568,"Oh, I believe that 13 reasons why romanticises suicide. It's the ultimate expression of the high-drama line you will be sorry when I'm gone, and it's terrible. The suicide scene itself was disturbing, just not in the way it was probably intended to be. Thank you for this. I find that it's more difficult for real cases of mental illness to be taken seriously because of this stupid fad."
569,not true in saudia arabia women have freedom
570,My parents are homophobes. :(
571,"My God, the cancer is spreading"
572,"Let kids be kids for fucks sake ,"
573,It's that nerdy guy from the polar express.
574,"It's simple. Ask a person if they're Asian. If the first words out of their mouths are anything other than yes, they are not Asian"
575,It's killing me seeing gays treated like that
576,Islam and Christianity have mixed for centuries so the idea that we cannot coexist is an ignorant idea.
577,In the US that same game was called ten little Indians. I know.. It’s boring
578,IM GAY AND FUCKING PROUD FUCK BITCHES LIKE THESE PEOPLE
579,"Im bisexual but im not looking to hook up with whatever. And i havent come out yet. Im scared, really scared."
580,If your face was used on the inside of a jack-in-the-box there would be an epidemic of children dying from shock and disgust.
581,"If you had a Winnie, even tinnie, and flat chest I would hire you miss. Now no way."
582,If it takes you a year of interviewing to come to these very basic conclusions how brain washed do you have to be. Damn.
583,"I'm beginning to doubt your accuracy, I mean violent Canadians? That's just absurd."
584,"I'm an Asian immigrant who came to the states when I was 16. Growing up and living in midwest, I did experience lots of racism last 20 yrs. It didnt matter to them how hard I worked to become a doctor, what kind of person I was, how much I contributed to the society... racism that I experienced was purely based on my skin color and accent. And I hate to say it but probably 80-90% of my unpleasant experience was by other minorities such as blacks, Hispanics and even other asians. Yes, some Asians actually treat white customers with more respect than other asian customers"
585,I would prefer a phallic world
586,I would fucking kill Jared leto
587,"i think mental illness was romanticized for a long time already. Take an example from emos, tumblr and more. I think people are really influenced by famous people. It looks beautiful because celebrities seem to have a movie like life and people want to be special and end up being delusional."
588,I see the depression caused her to gain more weight.
589,I read the title and immediately was ready to kill
590,I like this lady. Seems like a role model for both men and women on how to have an open mind
591,I hate white flour and white sugar. Are two of the three white deaths!!
592,I get out the closet this weekend to some friends...
593,"I can totally relate to this and it actually hurts, I'm also biracial white and afro-american"
594,Huh kids like this with crazy eyes and weird moves lurking around are scary. Please mama of this creeper cuff him and sent him to an asylum 
595,Hit did not hit her she hit first and this is defense
596,Head looks like a big ass jelly bean
597,HE SHOT THE KID!?!? HE SHOT THE EFFIN KID!!!! BOI YOU BETTER SLEEP WITH ONE EYE OPEN BECAUSE IMMA WHOOP YOUR STUPID LITTLE BUTT TILL YOU WISH YOU WERE NEVER BORN YA HERE ME!!!! WITHERED SHALL BE AVENGED!!!!
598,he may be in a wheelchair but he's not at all bad looking! forget the trolls dude
599,He had a valid point. If your obese don't go out in public especially a all you can eat. Unless you want to see looks or hear remarks. Or just lose that weight. If you don't want to be a fat ass and you don't like what you look like change it.
600,"Handsome woman, eww.."
601,guy is low IQ af
602,GUN SHOT INA YU HEAD! NO MERCY!
603,Glenn is the type of Korean dude I’m fucking into. I love his weird eyes
604,"Get proper translators idiot, he didn’t say that"
605,"Germans need to quit blaming themselves for the atrocities committed by the Nazi's. The same thing (shame) is happening here in the U.S. because of the past because of slavery and ""stealing"" the land from the Indians. People are getting sick of hearing that shit and the left is constantly saying how bad ""white"" Americans are."
606,Fuck off corbyn... Die or retire..
607,For the song thing I’m white but I’ll say the nigga word when I’m singing songs but if I’m with a black person and it’s making them uncomfortable or they ask me to stop I would out of respect.
608,feminism and Islam are of the same spirit
609,Every time that blonde lady talks I loose twenty brain cells
610,Even after just getting out of surgery you look like a bomb ass BITCHHH!! Love you and hope you'¬Ä¬ôre recovering fast!
611,does your little sister know you are wearing her clothes bitch tits?
612,Do people even care about the color of the persons skin or sexuality in a movie?Its just a bloody movie.
613,Do not kill people.
614,Didn’t know shitted coloured like you could talk
615,Did you use the ‚ÄúTan‚Äù or ‚ÄúDark‚Äù filter?
616,Dessert human garbage coming to eurabia
617,Deport the fucking brainless worthless pieces of shit freeloaders after they are all shot
618,Christianity and mostly every religion was told to accept one another and give them respect doesn't mean u have to change ur religion and ur opinion just give ur respect and they are equal to u and they are human
619,Call that the Caitlyn Jenner syndrome.
620,Black women are strong as hell
621,Beautiful pink dress. Your skin is so beautiful. Your face is so pretty. Your eyes are so sexy. Your lips are so sexy. Your lipstick is perfect.
622,b bl bla blac black or w wh whi white
623,"as someone who professionally diagnosed with mental illnesses I find it disrespectful and disgusting making a profit off it. making jokes is a different story for me though, I make jokes to help me cope but there's a line between joking and being disrespectful."
624,"ANYONE who believes in religion blindly lacks the ability to critically think. Do you really want to follow rules made by people who can not critically think? Believe in your god, but have your own values."
625,And that's how black people can be peaceful
626,"All people are brothers and sisters in humanity, religions separate the people unfortunately"
627,"After using them as slaves for 100s of years and stealing their all natural resources ,now europe doesn't need them let them die ."
628,Aaah its the mother's fault you guys dont know how hard to take care of autistic kids huh?
629, I'm not a Jewish enemy.
630,sons of bitches
631,how about you get real with your fake fucking selves and tell the truth that the normal minded society are the ones being discriminated against you pieces of pig shit i cant stand fake fucking cowards who lie constantly and too much of a bitch to be honest
632,Who was responsible for convincing these girls they were so pretty?
633,Go fucking kill yourself and die already useless ugly pile of shit scumbag
634,they are all fucking assholes
635,incoming racist people
